"ISIid","leadau","type","journal","year","volume","issue","bp","ep","refs","cites","authn","title"
"WOS:000344989000053","Urazghildiiev, IR","Article","JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA",2014,"136","5","2851","2860",19,0,1,"Statistical analysis of North Atlantic right whale (Eubalaena glacialis) signal trains in Cape Cod Bay, spring 2012 "
"WOS:000344604800004","Grasset, J","Article","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES",2014,"71","11","1635","1641",46,0,5,"Temperature, oxygen, and diet modulate gene transcription and metabolic capacities in yellow perch "
"WOS:000344604800010","Morris, CJ","Article","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES",2014,"71","11","1704","1712",44,0,5,"Temporal and spatial migration of Atlantic cod (Gadus morhua) inside and outside a marine protected area and evidence for the role of prior experience in homing "
"WOS:000344866300013","Driedzic, WR","Article","JOURNAL OF EXPERIMENTAL BIOLOGY",2014,"217","21","3797","3804",23,0,3,"Extracellular glucose can fuel metabolism in red blood cells from high glycemic Atlantic cod (Gadus morhua) but not low glycemic short-horned sculpin (Myoxocephalus scorpius) "
"WOS:000344813100006","Effer, BR","Article","ZYGOTE",2014,"22","4","470","475",29,0,5,"Morphometric of blastomeres in Salmo salar "
"WOS:000344370600001","Ruangsri, J","Article","AQUACULTURE RESEARCH",2014,"45","12","1893","1905",60,2,4,"Transcriptional regulation of antimicrobial peptides in mucosal tissues of Atlantic cod Gadus morhua L. in response to different stimuli "
"WOS:000344339500027","Killen, SS","Article","JOURNAL OF ANIMAL ECOLOGY",2014,"83","6","1513","1522",63,5,1,"Growth trajectory influences temperature preference in fish through an effect on metabolic rate "
"WOS:000344328500004","Jonsson, M","Article","JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND",2014,"200","11","949","957",48,1,5,"Differences in lens optical plasticity in two gadoid fishes meeting in the Arctic "
"WOS:000344378300015","Moraes, AH","Article","PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS",2014,"82","11","3032","3042",43,2,9,"Solution and high-pressure NMR studies of the structure, dynamics, and stability of the cross-reactive allergenic cod parvalbumin Gad m 1 "
"WOS:000343919800008","Vagner, M","Article","MARINE BIOLOGY",2014,"161","11","2547","2562",86,1,9,"Reduced n-3 highly unsaturated fatty acids dietary content expected with global change reduces the metabolic capacity of the golden grey mullet "
"WOS:000343390300007","Booman, M","Article","FISH & SHELLFISH IMMUNOLOGY",2014,"41","1","52","63",61,1,3,"Evaluation of the impact of camelina oil-containing diets on the expression of genes involved in the innate anti-viral immune response in Atlantic cod (Gadus morhua) "
"WOS:000342547700002","Buonocore, F","Article","MOLECULAR IMMUNOLOGY",2014,"62","1","10","18",42,1,6,"Molecular characterization, gene structure and antibacterial activity of a g-type lysozyme from the European sea bass (Dicentrarchus labrax L.) "
"WOS:000342477400004","Khatami, MH","Article","BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES",2014,"1838","11","2778","2787",66,1,4,"Molecular dynamics simulations of histidine-containing cod antimicrobial peptide paralogs in self-assembled bilayers "
"WOS:000342532000015","Oliva, M","Article","COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY",2014,"166","","134","144",80,1,5,"EROD activity and cytochrome P4501A induction in liver and gills of Senegal sole Solea senegalensis from a polluted Huelva Estuary (SW Spain) "
"WOS:000341473400019","Cook, DG","Article","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY",2014,"460","","162","169",53,0,5,"The response of striped surfperch Embiotoca lateralis to progressive hypoxia: Swimming activity, shoal structure, and estimated metabolic expenditure "
"WOS:000339776200080","Aune, TF","Article","LWT-FOOD SCIENCE AND TECHNOLOGY",2014,"59","1","583","586",27,0,5,"Influence of different cold storage temperatures during the Rigor mortis phase on fillet contraction and longer-term quality changes of Atlantic cod fillets "
"WOS:000338607800003","Morris, CJ","Article","MARINE POLICY",2014,"49","","20","28",34,1,2,"MPA regulations should incorporate adaptive management-The case of Gilbert Bay Labrador Atlantic cod (Gadus morhua) "
"WOS:000342715300014","Tuziak, SM","Article","GENE",2014,"550","2","253","263",80,0,3,"An investigation of appetite-related peptide transcript expression in Atlantic cod (Gadus morhua) brain following a Camelina sativa meal-supplemented feeding trial "
"WOS:000343662800100","Diaz, N","Article","PLOS ONE",2014,"9","10","","",64,0,3,"Effects of Changes in Food Supply at the Time of Sex Differentiation on the Gonadal Transcriptome of Juvenile Fish. Implications for Natural and Farmed Populations "
"WOS:000345058700039","Grimsbo, E","Article","AQUACULTURE",2014,"434","","277","281",47,0,4,"Preventing injuries and recovery for electrically stunned Atlantic salmon (Salmo salar) using high frequency spectrum combined with a thermal shock "
"WOS:000345488300018","Pampanin, DM","Article","MARINE ENVIRONMENTAL RESEARCH",2014,"101","","161","168",51,1,5,"Study of the bile proteome of Atlantic cod (Gadus morhua): Multi-biological markers of exposure to polycyclic aromatic hydrocarbons "
"WOS:000344448700009","Midway, SR","Article","FISHERY BULLETIN",2014,"112","4","326","338",45,1,3,"Southern flounder (Paralichthys lethostigma) stock structure inferred from otolith shape analysis "
"WOS:000343381100005","Holen, E","Article","FISH & SHELLFISH IMMUNOLOGY",2014,"40","2","384","391",36,0,2,"Aryl hydrocarbon receptor protein and Cyp1A1 gene induction by LPS and phenanthrene in Atlantic cod (Gadus morhua) head kidney cells "
"WOS:000343381100036","Rombout, JHWM","Article","FISH & SHELLFISH IMMUNOLOGY",2014,"40","2","634","643",140,7,3,"Adaptive immune responses at mucosal surfaces of teleost fish "
"WOS:000343317100002","Schwach, V","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","8","1993","1999",52,3,1,"A sea change: Johan Hjort and the natural fluctuations in the fish stocks "
"WOS:000343317100006","Leaf, RT","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","8","2017","2025",56,3,2,"Autumn bloom phenology and magnitude influence haddock recruitment on Georges Bank "
"WOS:000343317100009","Kjesbu, OS","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","8","2053","2063",51,3,5,"Making use of Johan Hjorts unknown legacy: reconstruction of a 150-year coastal time-series on northeast Arctic cod (Gadus morhua) liver data reveals long-term trends in energy allocation patterns "
"WOS:000343317100012","Bastrikin, DK","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","8","2101","2113",76,1,5,"Settlement length and temporal settlement patterns of juvenile cod (Gadus morhua), haddock (Melanogrammus aeglefinus), and whiting (Merlangius merlangus) in a northern North Sea coastal nursery area "
"WOS:000343317100018","Hixon, MA","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","8","2171","2185",219,14,3,"BOFFFFs: on the importance of conserving old-growth age structure in fishery populations "
"WOS:000342859800019","Lindegren, M","Article","ECOLOGICAL APPLICATIONS",2014,"24","7","1820","1832",75,0,4,"A metacommunity perspective on source-sink dynamics and management: the Baltic Sea as a case study "
"WOS:000342440000039","Lazado, CC","Article","MOLECULAR BIOLOGY REPORTS",2014,"41","10","6679","6689",41,2,6,"In vitro and ex vivo models indicate that the molecular clock in fast skeletal muscle of Atlantic cod is not autonomous "
"WOS:000342245300025","Preus-Olsen, G","Article","AQUATIC TOXICOLOGY",2014,"155","","222","235",119,2,5,"Effects of elevated dissolved carbon dioxide and perfluorooctane sulfonic acid, given singly and in combination, on steroidogenic and biotransformation pathways of Atlantic cod "
"WOS:000342442100005","Cladis, DP","Article","LIPIDS",2014,"49","10","1005","1018",41,1,4,"Fatty Acid Profiles of Commercially Available Finfish Fillets in the United States "
"WOS:000342208900001","Cadigan, NG","Article","FISHERIES MANAGEMENT AND ECOLOGY",2014,"21","5","343","356",51,1,3,"Improved estimation and forecasts of stock maturities using generalised linear mixed models with auto-correlated random effects "
"WOS:000341743300006","Peng, J","Article","COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE",2014,"176","","32","40",62,0,3,"The effects of constant and diel-fluctuating temperature acclimation on the thermal tolerance, swimming capacity, specific dynamic action and growth performance of juvenile Chinese bream "
"WOS:000341498900019","Ali, TE","Article","FISH PHYSIOLOGY AND BIOCHEMISTRY",2014,"40","5","1509","1519",36,0,4,"Structural and functional effects of early exposure to 4-nonylphenol on gonadal development of Nile tilapia (Oreochromis niloticus): a-histological alterations in ovaries "
"WOS:000341498900028","Hartviksen, M","Article","FISH PHYSIOLOGY AND BIOCHEMISTRY",2014,"40","5","1621","1637",49,1,5,"Evaluation of the effect of commercially available plant and animal protein sources in diets for Atlantic salmon (Salmo salar L.): digestive and metabolic investigations "
"WOS:000341549700005","Scott, AP","Article","STEROIDS",2014,"88","","26","35",29,1,3,"Identification of cortisol metabolites in the bile of Atlantic cod Gadus morhua L. "
"WOS:000339128500010","Politis, SN","Article","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY",2014,"459","","70","79",60,2,5,"Temperature, paternity and asynchronous hatching influence early developmental characteristics of larval Atlantic cod, Gadus morhua "
"WOS:000347622400003","Valero, KCW","Article","PEERJ",2014,"2","","","",84,0,7,"A candidate multimodal functional genetic network for thermal adaptation "
"WOS:000342685600006","Bradbury, IR","Article","PLOS ONE",2014,"9","9","","",61,2,11,"Long Distance Linkage Disequilibrium and Limited Hybridization Suggest Cryptic Speciation in Atlantic Cod "
"WOS:000342924200013","Rogers, LA","Article","MARINE ECOLOGY PROGRESS SERIES",2014,"511","","153","163",52,1,4,"Habitat effects on population connectivity in a coastal seascape "
"WOS:000342924200021","Buren, AD","Article","MARINE ECOLOGY PROGRESS SERIES",2014,"511","","265","284",96,0,3,"The role of harp seals, fisheries and food availability in driving the dynamics of northern cod "
"WOS:000342351800097","Sandlund, N","Article","PLOS ONE",2014,"9","9","","",55,0,6,"Screening for Viral Hemorrhagic Septicemia Virus in Marine Fish along the Norwegian Coastal Line "
"WOS:000342529400014","Reglero, P","Article","AQUACULTURE",2014,"433","","94","101",34,2,8,"Size-related differences in growth and survival in piscivorous fish larvae fed different prey types "
"WOS:000342529400051","Ingebrigtsen, IA","Article","AQUACULTURE",2014,"433","","367","376",70,0,7,"Growth and quality of Atlantic cod (Gadus morhua) fed with high and low fat diets supplemented with glutamate "
"WOS:000342491600069","Birdsell, DN","Article","PLOS ONE",2014,"9","9","","",60,1,9,"TaqMan Real-Time PCR Assays for Single-Nucleotide Polymorphisms Which Identify Francisella tularensis and Its Subspecies and Subpopulations "
"WOS:000342860100030","Maneja, RH","Article","MARINE POLLUTION BULLETIN",2014,"86","1-2","154","160",53,1,8,"The proteome of Atlantic herring (Clupea harengus L.) larvae is resistant to elevated pCO(2) "
"WOS:000340312000078","Jorundsdottir, HO","Article","SCIENCE OF THE TOTAL ENVIRONMENT",2014,"493","","719","728",62,0,14,"Pristine Arctic: Background mapping of PAHs, PAH metabolites and inorganic trace elements in the North-Atlantic Arctic and sub-Arctic coastal environment "
"WOS:000340329100008","Chu, CQ","Article","GENE",2014,"548","1","48","55",38,1,4,"Molecular characterization of a CXCL8-like protein from ayu and its effect on chemotaxis of neutrophils and monocytes/macrophages "
"WOS:000341597300002","Mininni, AN","Article","BMC GENOMICS",2014,"15","","","",56,4,10,"Liver transcriptome analysis in gilthead sea bream upon exposure to low temperature "
"WOS:000344811000003","Pitois, SG","Article","FISHERIES OCEANOGRAPHY",2014,"23","5","417","435",91,0,2,"The growth of larval cod and haddock in the Irish Sea: a model with temperature, prey size and turbulence forcing "
"WOS:000344395000007","Sobecka, E","Article","OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES",2014,"43","3","257","264",38,0,4,"Occurrence and distribution of parasites in relation to food components of grey gurnard, Eutrigla gurnardus (L.) (Teleostei: Scorpaeniformes), off the Shetland Islands "
"WOS:000343315900004","Rouyer, T","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","7","1554","1562",46,1,4,"Combined effects of exploitation and temperature on fish stocks in the Northeast Atlantic "
"WOS:000343315900010","Valenzuela-Quinonez, F","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","7","1619","1628",100,0,4,"Inferring past demographic changes in a critically endangered marine fish after fishery collapse "
"WOS:000343315900017","Pacariz, S","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","7","1706","1716",44,0,3,"Interannual variability in the transport of fish eggs in the Kattegat and Oresund "
"WOS:000343315900038","Haug, T","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","7","1932","1933",4,0,5,"Contribution to the Themed Section: Marine Harvesting in the Arctic Introduction: Marine Harvesting in the Arctic "
"WOS:000342978600002","Hoffle, H","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","6","1317","1331",83,2,6,"Variability of northeast Arctic cod (Gadus morhua) distribution on the main spawning grounds in relation to biophysical factors "
"WOS:000342978600003","Hammill, MO","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","6","1332","1341",47,3,4,"Feeding by grey seals on endangered stocks of Atlantic cod and white hake "
"WOS:000342978600005","Zemeckis, DR","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","6","1356","1365",69,3,5,"Spawning site fidelity by Atlantic cod (Gadus morhua) in the Gulf of Maine: implications for population structure and rebuilding "
"WOS:000342978600006","Kerr, LA","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","6","1366","1381",50,4,3,"Consequences of a mismatch between biological and management units on our perception of Atlantic cod off New England "
"WOS:000342978600007","Neumann, V","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","6","1382","1392",58,1,4,"Recovery in eastern Baltic cod: is increased recruitment caused by decreased predation on early life stages? "
"WOS:000342978600008","Wright, PJ","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","6","1393","1406",69,2,1,"Are there useful life history indicators of stock recovery rate in gadoids? "
"WOS:000342978600009","Morgan, MJ","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","6","1407","1416",36,1,3,"An evaluation of fishing mortality reference points under varying levels of population productivity in three Atlantic cod (Gadus morhua) stocks "
"WOS:000342978600010","Michalsen, K","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","6","1417","1432",60,2,4,"Linking tagging technology and molecular genetics to gain insight in the spatial dynamics of two stocks of cod in Northeast Atlantic waters "
"WOS:000342978600011","Holmes, SJ","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","6","1433","1442",66,2,4,"Gadoid dynamics: differing perceptions when contrasting stock vs. population trends and its implications to management "
"WOS:000342978600012","Cao, J","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","6","1443","1457",41,1,3,"Impacts of seasonal stock mixing on the assessment of Atlantic cod in the Gulf of Maine "
"WOS:000342978600014","Hutchings, JA","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","6","1467","1473",76,2,2,"Ghosts of fisheries-induced depletions: do they haunt us still? "
"WOS:000342978600015","Dean, MJ","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","6","1474","1489",85,6,4,"Fine-scale diel and gender-based patterns in behaviour of Atlantic cod (Gadus morhua) on a spawning ground in the Western Gulf of Maine "
"WOS:000342978600016","Zemeckis, DR","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","6","1490","1506",149,5,4,"Stock identification of Atlantic cod (Gadus morhua) in US waters: an interdisciplinary approach "
"WOS:000342978600017","Kuparinen, A","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","6","1507","1514",39,0,3,"Increased environmentally driven recruitment variability decreases resilience to fishing and increases uncertainty of recovery "
"WOS:000342220700020","Hosoya, S","Article","FISHERIES SCIENCE",2014,"80","5","1037","1043",50,0,4,"Rearing Takifugu rubripes larvae in communal tanks: paternal genetic contribution to survivability "
"WOS:000342263700005","Papadakis, VM","Article","AQUACULTURAL ENGINEERING",2014,"62","","36","41",21,0,3,"Sub-second analysis of fish behavior using a novel computer-vision system "
"WOS:000341734600002","Chan, MH","Article","BULLETIN OF MATHEMATICAL BIOLOGY",2014,"76","9","2122","2143",58,0,2,"Modelling the Impact of Marine Reserves on a Population with Depensatory Dynamics "
"WOS:000341518100007","Richardson, DE","Article","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES",2014,"71","9","1349","1362",56,0,3,"The influence of forage fish abundance on the aggregation of Gulf of Maine Atlantic cod (Gadus morhua) and their catchability in the fishery "
"WOS:000341348400001","Bermejo, S","Article","COMPUTERS AND ELECTRONICS IN AGRICULTURE",2014,"107","","1","7",59,0,1,"The benefits of using otolith weight in statistical fish age classification: A case study of Atlantic cod species "
"WOS:000340695100002","Xue, X","Article","COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR",2014,"175","","9","22",44,1,7,"Characterization of the fatty acyl elongase (elovl) gene family, and hepatic elovl and delta-6 fatty acyl desaturase transcript expression and fatty acid responses to diets containing camelina oil in Atlantic cod (Gadus morhua) "
"WOS:000340845500010","Knickle, DC","Article","JOURNAL OF FISH BIOLOGY",2014,"85","3","713","735",68,0,2,"Examination of fine-scale spatial-temporal overlap and segregation between two closely related congeners Gadus morhua and Gadus ogac in coastal Newfoundland "
"WOS:000340339800027","Holth, TF","Article","AQUATIC TOXICOLOGY",2014,"154","","240","252",114,3,9,"Effects of water accommodated fractions of crude oils and diesel on a suite of biomarkers in Atlantic cod (Gadus morhua) "
"WOS:000338819600001","Keating, JP","Article","FISHERIES RESEARCH",2014,"157","","1","6",48,0,4,"Otolith shape analysis of blue whiting suggests a complex stock structure at their spawning grounds in the Northeast Atlantic "
"WOS:000338819600022","Bryhn, AC","Article","FISHERIES RESEARCH",2014,"157","","187","192",24,1,4,"Green lamps as visual stimuli affect the catch efficiency of floating cod (Gadus morhua) pots in the Baltic Sea "
"WOS:000336697000022","Steadman, D","Article","MARINE POLICY",2014,"48","","192","201",91,0,3,"Minimising unsustainable yield: Ten failing European fisheries "
"WOS:000338599700006","Isomaa, M","Article","ECOLOGICAL MODELLING",2014,"286","","45","52",57,0,3,"Determining the impact of initial age structure on the recovery of a healthy over-harvested population "
"WOS:000341449300001","Jorgensen, TE","Article","BMC EVOLUTIONARY BIOLOGY",2014,"14","","","",51,1,6,"An evolutionary preserved intergenic spacer in gadiform mitogenomes generates a long noncoding RNA "
"WOS:000342247200006","Tolarova, S","Article","AQUACULTURE",2014,"432","","46","52",78,1,5,"The seasonal changes of innate immunity of tench, Tinca tinca (L.) with different ploidy level "
"WOS:000342247200020","Rhody, NR","Article","AQUACULTURE",2014,"432","","144","153",67,1,5,"Parental contribution and spawning performance in captive common snook Centropomus undecimalis broodstock "
"WOS:000342247200061","Attramadal, KJK","Article","AQUACULTURE",2014,"432","","483","490",23,1,6,"RAS and microbial maturation as tools for K-selection of microbial communities improve survival in cod larvae "
"WOS:000334973600008","Hixson, SM","Article","FOOD CHEMISTRY",2014,"157","","51","61",38,4,3,"Full substitution of fish oil with camelina (Camelina sativa) oil, with partial substitution of fish meal with camelina meal, in diets for farmed Atlantic salmon (Salmo salar) and its effect on tissue lipids and sensory quality "
"WOS:000341017000027","Jung, KM","Article","PLOS ONE",2014,"9","8","","",38,0,4,"Experimental Parameterisation of Principal Physics in Buoyancy Variations of Marine Teleost Eggs "
"WOS:000339812700103","Johnson, SL","Article","PLOS ONE",2014,"9","8","","",76,3,7,"Proteomic Analysis of Chinook Salmon (Oncorhynchus tshawytscha) Ovarian Fluid "
"WOS:000348997100022","Innis, CJ","Article","JAVMA-JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION",2014,"245","3","315","323",33,1,12,"Diagnosis and management of Enterococcus spp infections during rehabilitation of cold-stunned Kemps ridley turtles (Lepidochelys kempii): 50 cases (2006-2012) "
"WOS:000341591700004","Gallardo-Cabello, M","Article","REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA",2014,"49","2","209","223",84,0,5,"Morphometric analysis on sagitta, asteriscus and lapillus of Shortnose Mojarra Diapterus brevirostris (Teleostei: Gerreidae) in Cuyutlan coastal Lagoon, Colima, Mexico "
"WOS:000341517800001","Thompson, KA","Article","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES",2014,"71","8","1123","1133",54,0,3,"The effects of temperature and predator densities on the consumption of walleye pollock (Gadus chalcogrammus) by three groundfish in the Gulf of Alaska "
"WOS:000341477900016","Rodnick, KJ","Article","JOURNAL OF THERMAL BIOLOGY",2014,"44","","110","118",65,2,4,"Temperature and sex dependent effects on cardiac mitochondrial metabolism in Atlantic cod (Gadus morhua L.) "
"WOS:000341232400007","Bjorndal, T","Article","NATURAL RESOURCE MODELING",2014,"27","3","396","410",28,0,2,"NONCOOPERATIVE MANAGEMENT OF THE NORTHEAST ATLANTIC COD FISHERY: A FIRST MOVER ADVANTAGE "
